hand,num_opponents,equity,iters
85o,2,0.263482,200000
85o,3,0.194181,200000
85o,4,0.150585,200000
85o,5,0.123271,200000
85o,6,0.103735,200000
85o,7,0.089483,200000
85o,8,0.080372,200000
85s,1,0.44391,200000
85s,2,0.299714,200000
85s,3,0.231421,200000
85s,4,0.190923,200000
85s,5,0.161644,200000
85s,6,0.142082,200000
85s,7,0.128131,200000
85s,8,0.117597,200000
86o,1,0.43326,200000
86o,2,0.283773,200000
86o,3,0.214421,200000
86o,4,0.168563,200000
86o,5,0.138367,200000
86o,6,0.117707,200000
86o,7,0.102838,200000
86o,8,0.09162,200000
86s,1,0.461647,200000
86s,2,0.319706,200000
86s,3,0.247514,200000
86s,4,0.206887,200000
86s,5,0.176815,200000
86s,6,0.155717,200000
86s,7,0.139429,200000
86s,8,0.128728,200000
87o,1,0.452823,200000
87o,2,0.303924,200000
87o,3,0.229999,200000
87o,4,0.183035,200000
87o,5,0.151082,200000
87o,6,0.129693,200000
87o,7,0.115296,200000
87o,8,0.100053,200000
87s,1,0.479215,200000
87s,2,0.338507,200000
87s,3,0.266071,200000
87s,4,0.220914,200000
87s,5,0.187915,200000
87s,6,0.167006,200000
87s,7,0.150096,200000
87s,8,0.136928,200000
88,1,0.691307,200000
88,2,0.499477,200000
88,3,0.378861,200000
88,4,0.294697,200000
88,5,0.238982,200000
88,6,0.201319,200000
88,7,0.177619,200000
88,8,0.157919,200000
92o,1,0.390313,200000
92o,2,0.231519,200000
92o,3,0.159682,200000
92o,4,0.122247,200000
92o,5,0.096038,200000
92o,6,0.080286,200000
92o,7,0.069085,200000
92o,8,0.059492,200000
92s,1,0.424355,200000
92s,2,0.271154,200000
92s,3,0.203887,200000
92s,4,0.163058,200000
92s,5,0.140336,200000
92s,6,0.121334,200000
92s,7,0.109435,200000
92s,8,0.100456,200000
93o,1,0.39947,200000
93o,2,0.238447,200000
93o,3,0.166691,200000
93o,4,0.127612,200000
93o,5,0.100312,200000
93o,6,0.083591,200000
93o,7,0.070769,200000
93o,8,0.061663,200000
93s,1,0.431893,200000
93s,2,0.278111,200000
93s,3,0.208909,200000
93s,4,0.167359,200000
93s,5,0.143171,200000
93s,6,0.124095,200000
93s,7,0.111636,200000
93s,8,0.100794,200000
94o,1,0.405552,200000
94o,2,0.245192,200000
94o,3,0.171131,200000
94o,4,0.131272,200000
94o,5,0.104807,200000
94o,6,0.086954,200000
94o,7,0.072982,200000
94o,8,0.063523,200000
94s,1,0.43925,200000
94s,2,0.2837,200000
94s,3,0.213918,200000
94s,4,0.172361,200000
94s,5,0.14573,200000
94s,6,0.127624,200000
94s,7,0.113396,200000
94s,8,0.102918,200000
95o,1,0.42816,200000
95o,2,0.265028,200000
95o,3,0.191802,200000
95o,4,0.148172,200000
95o,5,0.118277,200000
95o,6,0.098944,200000
95o,7,0.084811,200000
95o,8,0.073658,200000
95s,1,0.454302,200000
95s,2,0.302038,200000
95s,3,0.231798,200000
95s,4,0.186891,200000
95s,5,0.157928,200000
95s,6,0.138975,200000
95s,7,0.124191,200000
95s,8,0.113373,200000
96o,1,0.44507,200000
96o,2,0.283676,200000
96o,3,0.210521,200000
96o,4,0.166236,200000
96o,5,0.13421,200000
96o,6,0.112891,200000
96o,7,0.097095,200000
96o,8,0.086229,200000
96s,1,0.474807,200000
96s,2,0.321838,200000
96s,3,0.2488,200000
96s,4,0.203344,200000
96s,5,0.173137,200000
96s,6,0.151023,200000
96s,7,0.135129,200000
96s,8,0.123296,200000
97o,1,0.46237,200000
97o,2,0.307466,200000
97o,3,0.229762,200000
97o,4,0.182701,200000
97o,5,0.151769,200000
97o,6,0.128332,200000
97o,7,0.110065,200000
97o,8,0.098447,200000
97s,1,0.49123,200000
97s,2,0.33938,200000
97s,3,0.266972,200000
97s,4,0.219693,200000
97s,5,0.188625,200000
97s,6,0.165327,200000
97s,7,0.147545,200000
97s,8,0.135534,200000
98o,1,0.479995,200000
98o,2,0.326469,200000
98o,3,0.249209,200000
98o,4,0.199812,200000
98o,5,0.166411,200000
98o,6,0.143123,200000
98o,7,0.124812,200000
98o,8,0.109852,200000
98s,1,0.509003,200000
98s,2,0.359325,200000
98s,3,0.285748,200000
98s,4,0.236867,200000
98s,5,0.200468,200000
98s,6,0.179435,200000
98s,7,0.16058,200000
98s,8,0.143587,200000
99,1,0.720967,200000
99,2,0.536992,200000
99,3,0.412102,200000
99,4,0.326604,200000
99,5,0.264568,200000
99,6,0.225027,200000
99,7,0.19319,200000
99,8,0.170821,200000
A2o,1,0.55044,200000
A2o,2,0.354084,200000
A2o,3,0.253402,200000
A2o,4,0.199196,200000
A2o,5,0.164284,200000
A2o,6,0.136645,200000
A2o,7,0.117784,200000
A2o,8,0.103503,200000
A2s,1,0.575143,200000
A2s,2,0.388485,200000
A2s,3,0.294463,200000
A2s,4,0.240669,200000
A2s,5,0.206498,200000
A2s,6,0.180264,200000
A2s,7,0.163099,200000
A2s,8,0.147076,200000
A3o,1,0.556307,200000
A3o,2,0.360602,200000
A3o,3,0.263278,200000
A3o,4,0.205421,200000
A3o,5,0.167302,200000
A3o,6,0.143168,200000
A3o,7,0.123919,200000
A3o,8,0.108847,200000
A3s,1,0.581995,200000
A3s,2,0.397117,200000
A3s,3,0.303343,200000
A3s,4,0.247626,200000
A3s,5,0.212077,200000
A3s,6,0.185511,200000
A3s,7,0.167307,200000
A3s,8,0.153465,200000
A4o,1,0.567758,200000
A4o,2,0.372,200000
A4o,3,0.272175,200000
A4o,4,0.212486,200000
A4o,5,0.17553,200000
A4o,6,0.148094,200000
A4o,7,0.128079,200000
A4o,8,0.11137,200000
A4s,1,0.592078,200000
A4s,2,0.403982,200000
A4s,3,0.310373,200000
A4s,4,0.255273,200000
A4s,5,0.216964,200000
A4s,6,0.189031,200000
A4s,7,0.170479,200000
A4s,8,0.153417,200000
A5o,1,0.578465,200000
A5o,2,0.38164,200000
A5o,3,0.279491,200000
A5o,4,0.220336,200000
A5o,5,0.1812,200000
A5o,6,0.152883,200000
A5o,7,0.130576,200000
A5o,8,0.113987,200000
A5s,1,0.599167,200000
A5s,2,0.413975,200000
A5s,3,0.318869,200000
A5s,4,0.259676,200000
A5s,5,0.221203,200000
A5s,6,0.193205,200000
A5s,7,0.174117,200000
A5s,8,0.158205,200000
A6o,1,0.577403,200000
A6o,2,0.380234,200000
A6o,3,0.275198,200000
A6o,4,0.215775,200000
A6o,5,0.17241,200000
A6o,6,0.147735,200000
A6o,7,0.126188,200000
A6o,8,0.108352,200000
A6s,1,0.599562,200000
A6s,2,0.410795,200000
A6s,3,0.311948,200000
A6s,4,0.254266,200000
A6s,5,0.21636,200000
A6s,6,0.189218,200000
A6s,7,0.168661,200000
A6s,8,0.152664,200000
A7o,1,0.589718,200000
A7o,2,0.390702,200000
A7o,3,0.287788,200000
A7o,4,0.223881,200000
A7o,5,0.182387,200000
A7o,6,0.153499,200000
